Cluster,Internal energy,Internal energy change
F,-23.9276340106644,0.46902196684390063
A,-24.1415678262518,0.25508815125649775
B,-24.1712861071037,0.22536987040459877
G,-24.1825221795504,0.21413379795789922
E,-24.31467138344,0.08198459406829883
D,-24.344708365311,0.051947612197299264
C,-24.3713940099586,0.02526196754969945
H,-24.3966559775083,0.0
