Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,Binding Energy min,Binding Energy 5-percentile,Binding Energy 25-percentile,Binding Energy mean,Binding Energy 75-percentile,Binding Energy 95-percentile,Binding Energy max,Binding Energy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
131,0.003489531405782652,0.8133518780291418,-9890.84,-9888.884,-9882.695,-9876.694285714286,-9869.965,-9864.809000000001,-9863.51,8.872659219909854,-54.5269,-53.61352,-47.13005,-42.51844285714286,-37.9279,-33.04356000000001,-31.3482,7.502768678838717,0.0650367,0.06534273,0.0683896,0.08276681428571428,0.091258,0.10142931,0.105204,0.014342298064857826,-
73,0.0024925224327018943,0.8894595749475377,-9881.97,-9881.395999999999,-9879.1,-9873.636,-9866.85,-9863.698,-9862.91,7.4054239581538335,-39.7013,-39.4275,-38.3323,-30.8325,-27.0707,-22.4555,-21.3017,7.061893193188354,0.203022,0.2045632,0.210728,0.2311404,0.251049,0.2512346,0.251281,0.02040217710539735,-
74,0.0009970089730807576,0.499293250505152,-9871.63,-9871.3645,-9870.3025,-9868.974999999999,-9867.6475,-9866.5855,-9866.32,2.6549999999997453,-14.63,-14.569675,-14.328375000000001,-14.02675,-13.725125,-13.483825000000001,-13.4235,0.6032500000000001,0.339256,0.33975645,0.34175825,0.34426049999999997,0.34676275,0.34876455,0.349265,0.005004499999999995,-
36,0.0029910269192422734,0.6080750728119922,-9889.34,-9887.657500000001,-9882.225,-9879.998333333331,-9875.35,-9873.52,-9873.39,5.417282272710612,-38.1439,-37.38,-34.91535,-33.98176666666667,-31.861625,-30.890775,-30.8488,2.4999598301217207,0.109787,0.111441,0.11781975,0.13029766666666667,0.139315,0.1582545,0.163186,0.01801857209165649,-
62,0.0009970089730807576,0.2648736491235018,-9872.46,-9872.403999999999,-9872.18,-9871.9,-9871.619999999999,-9871.396,-9871.34,0.5599999999994907,-38.2829,-38.28245,-38.280649999999994,-38.2784,-38.27615,-38.27435,-38.2739,0.0045000000000001705,0.0961152,0.09641249,0.09760165,0.0990881,0.10057455,0.10176371,0.102061,0.0029729000000000005,-
63,0.0009970089730807576,0.4918440809850211,-9864.66,-9864.6585,-9864.6525,-9864.645,-9864.637499999999,-9864.6315,-9864.63,0.015000000000327418,-35.664,-35.42472,-34.467600000000004,-33.2712,-32.074799999999996,-31.11768,-30.8784,2.392800000000001,0.116733,0.11760345,0.12108525,0.1254375,0.12978975,0.13327155000000002,0.134142,0.008704500000000004,-
29,0.003489531405782652,0.5455393396227233,-9880.48,-9880.117,-9878.84,-9876.697142857143,-9874.33,-9872.060000000001,-9871.94,3.1086364226397603,-27.0922,-26.98039,-26.15775,-25.404700000000002,-24.7673,-23.8729,-23.5369,1.1301809374735405,0.143883,0.14577690000000001,0.151044,0.15709242857142858,0.1633605,0.17107139999999998,0.174051,0.009516589648115139,-
78,0.0004985044865403788,0.0,-9876.87,-9876.87,-9876.87,-9876.87,-9876.87,-9876.87,-9876.87,0.0,-30.1313,-30.1313,-30.1313,-30.1313,-30.1313,-30.1313,-30.1313,0.0,0.126036,0.126036,0.126036,0.126036,0.126036,0.126036,0.126036,0.0,-
90,0.0004985044865403788,0.0,-9866.45,-9866.45,-9866.45,-9866.45,-9866.45,-9866.45,-9866.45,0.0,-30.1215,-30.1215,-30.1215,-30.1215,-30.1215,-30.1215,-30.1215,0.0,0.116747,0.116747,0.116747,0.116747,0.116747,0.116747,0.116747,0.0,-
121,0.0004985044865403788,0.0,-9863.05,-9863.05,-9863.05,-9863.05,-9863.05,-9863.05,-9863.05,0.0,-25.4728,-25.4728,-25.4728,-25.4728,-25.4728,-25.4728,-25.4728,0.0,0.199074,0.199074,0.199074,0.199074,0.199074,0.199074,0.199074,0.0,-
132,0.0009970089730807576,0.568440102385466,-9889.26,-9888.2295,-9884.1075,-9878.955,-9873.8025,-9869.6805,-9868.65,10.305000000000291,-31.904,-31.60544,-30.4112,-28.9184,-27.4256,-26.231360000000002,-25.9328,2.9856,0.13649,0.13714490000000001,0.1397645,0.143039,0.14631349999999999,0.14893309999999998,0.149588,0.006548999999999999,-
118,0.0004985044865403788,0.0,-9865.55,-9865.55,-9865.55,-9865.55,-9865.55,-9865.55,-9865.55,0.0,-19.8342,-19.8342,-19.8342,-19.8342,-19.8342,-19.8342,-19.8342,0.0,0.200539,0.200539,0.200539,0.200539,0.200539,0.200539,0.200539,0.0,-
162,0.0014955134596211367,0.6841921117842246,-9883.65,-9883.378999999999,-9882.295,-9881.633333333333,-9880.625,-9880.373,-9880.31,1.449007323039448,-34.6059,-33.70107,-30.08175,-26.686333333333334,-22.72655,-20.46171,-19.8955,6.058299884914542,0.155619,0.1583932,0.16949,0.17790633333333336,0.18905,0.1936012,0.194739,0.01642982331682913,-
138,0.0004985044865403788,0.0,-9867.34,-9867.34,-9867.34,-9867.34,-9867.34,-9867.34,-9867.34,0.0,-33.287,-33.287,-33.287,-33.287,-33.287,-33.287,-33.287,0.0,0.0820479,0.0820479,0.0820479,0.0820479,0.0820479,0.0820479,0.0820479,0.0,-
99,0.0004985044865403788,0.0,-9874.18,-9874.18,-9874.18,-9874.18,-9874.18,-9874.18,-9874.18,0.0,-42.878,-42.878,-42.878,-42.878,-42.878,-42.878,-42.878,0.0,0.0832742,0.0832742,0.0832742,0.0832742,0.0832742,0.0832742,0.0832742,0.0,-
108,0.0004985044865403788,0.0,-9864.24,-9864.24,-9864.24,-9864.24,-9864.24,-9864.24,-9864.24,0.0,-31.1553,-31.1553,-31.1553,-31.1553,-31.1553,-31.1553,-31.1553,0.0,0.117732,0.117732,0.117732,0.117732,0.117732,0.117732,0.117732,0.0,-
92,0.0004985044865403788,0.0,-9872.68,-9872.68,-9872.68,-9872.68,-9872.68,-9872.68,-9872.68,0.0,-25.5496,-25.5496,-25.5496,-25.5496,-25.5496,-25.5496,-25.5496,0.0,0.114691,0.114691,0.114691,0.114691,0.114691,0.114691,0.114691,0.0,-
