#cluster size degeneracy contacts threshold density metric
0 325 0 0.64 5.0000 1.0 -
1 130 0 0.15 7.0000 1.0 -
2 22 0 0.51 7.0000 1.0 -
3 8 0 0.62 5.0000 1.0 -
4 14 0 0.51 7.0000 1.0 -
5 45 0 0.26 7.0000 1.0 -
6 17 0 0.49 7.0000 1.0 -
7 14 0 0.21 7.0000 1.0 -
8 3 0 0.54 7.0000 1.0 -
9 7 0 0.26 7.0000 1.0 -
10 20 0 0.21 7.0000 1.0 -
11 12 0 0.46 7.0000 1.0 -
12 5 0 0.10 7.0000 1.0 -
