Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
52,0.0030165912518853697,0.8180289872583081,-23.0163,-22.984925,-22.876175,-22.1191,-21.927500000000002,-20.38565,-19.9072,1.0729139915824257,0.95242,0.9567965,0.9699804999999999,0.972732,0.97530525,0.9894175,0.994003,0.012182304393395073,-
291,0.0005027652086475615,0.0,-22.9194,-22.9194,-22.9194,-22.9194,-22.9194,-22.9194,-22.9194,0.0,0.990747,0.990747,0.990747,0.990747,0.990747,0.990747,0.990747,0.0,-
283,0.0005027652086475615,0.0,-23.5856,-23.5856,-23.5856,-23.5856,-23.5856,-23.5856,-23.5856,0.0,0.976171,0.976171,0.976171,0.976171,0.976171,0.976171,0.976171,0.0,-
278,0.0005027652086475615,0.0,-23.7548,-23.7548,-23.7548,-23.7548,-23.7548,-23.7548,-23.7548,0.0,0.972582,0.972582,0.972582,0.972582,0.972582,0.972582,0.972582,0.0,-
276,0.0005027652086475615,0.0,-22.9279,-22.9279,-22.9279,-22.9279,-22.9279,-22.9279,-22.9279,0.0,0.981435,0.981435,0.981435,0.981435,0.981435,0.981435,0.981435,0.0,-
14,0.005530417295123178,0.7967027469320268,-23.1349,-22.99745,-21.76295,-21.031490909090905,-20.17795,-19.857950000000002,-19.8349,1.1187415482297671,0.966144,0.9668095,0.9844714999999999,0.9866300909090909,0.9910975,1.0014885,1.01026,0.011515752834937528,-
616,0.0005027652086475615,0.0,-20.3179,-20.3179,-20.3179,-20.3179,-20.3179,-20.3179,-20.3179,0.0,0.918106,0.918106,0.918106,0.918106,0.918106,0.918106,0.918106,0.0,-
645,0.0005027652086475615,0.0,-20.8783,-20.8783,-20.8783,-20.8783,-20.8783,-20.8783,-20.8783,0.0,0.942679,0.942679,0.942679,0.942679,0.942679,0.942679,0.942679,0.0,-
716,0.0005027652086475615,0.0,-20.2184,-20.2184,-20.2184,-20.2184,-20.2184,-20.2184,-20.2184,0.0,0.949177,0.949177,0.949177,0.949177,0.949177,0.949177,0.949177,0.0,-
595,0.0005027652086475615,0.0,-20.6508,-20.6508,-20.6508,-20.6508,-20.6508,-20.6508,-20.6508,0.0,0.956073,0.956073,0.956073,0.956073,0.956073,0.956073,0.956073,0.0,-
679,0.0005027652086475615,0.0,-22.1423,-22.1423,-22.1423,-22.1423,-22.1423,-22.1423,-22.1423,0.0,0.94711,0.94711,0.94711,0.94711,0.94711,0.94711,0.94711,0.0,-
53,0.0030165912518853697,0.808293225282322,-26.9895,-26.58415,-25.3267,-23.59155,-21.444699999999997,-20.693749999999998,-20.5372,2.3881652321046247,0.953505,0.954159,0.9617165,0.9778034999999999,0.98783,0.99971975,1.00359,0.017872842674012422,-
579,0.0005027652086475615,0.0,-22.8973,-22.8973,-22.8973,-22.8973,-22.8973,-22.8973,-22.8973,0.0,0.906459,0.906459,0.906459,0.906459,0.906459,0.906459,0.906459,0.0,-
187,0.001005530417295123,0.23677711038020488,-21.6188,-21.544865,-21.249125,-20.87945,-20.509775,-20.214035,-20.1401,0.73935,0.965049,0.9652848500000001,0.96622825,0.9674075,0.96858675,0.96953015,0.969766,0.0023584999999999856,-
677,0.0005027652086475615,0.0,-20.4588,-20.4588,-20.4588,-20.4588,-20.4588,-20.4588,-20.4588,0.0,0.97231,0.97231,0.97231,0.97231,0.97231,0.97231,0.97231,0.0,-
553,0.0005027652086475615,0.0,-20.6923,-20.6923,-20.6923,-20.6923,-20.6923,-20.6923,-20.6923,0.0,0.955293,0.955293,0.955293,0.955293,0.955293,0.955293,0.955293,0.0,-
632,0.0005027652086475615,0.0,-22.8263,-22.8263,-22.8263,-22.8263,-22.8263,-22.8263,-22.8263,0.0,0.908076,0.908076,0.908076,0.908076,0.908076,0.908076,0.908076,0.0,-
311,0.0005027652086475615,0.0,-21.9153,-21.9153,-21.9153,-21.9153,-21.9153,-21.9153,-21.9153,0.0,0.978685,0.978685,0.978685,0.978685,0.978685,0.978685,0.978685,0.0,-
536,0.0005027652086475615,0.0,-26.16,-26.16,-26.16,-26.16,-26.16,-26.16,-26.16,0.0,0.990249,0.990249,0.990249,0.990249,0.990249,0.990249,0.990249,0.0,-
313,0.0005027652086475615,0.0,-20.386,-20.386,-20.386,-20.386,-20.386,-20.386,-20.386,0.0,0.995079,0.995079,0.995079,0.995079,0.995079,0.995079,0.995079,0.0,-
409,0.0005027652086475615,0.0,-22.7772,-22.7772,-22.7772,-22.7772,-22.7772,-22.7772,-22.7772,0.0,0.997804,0.997804,0.997804,0.997804,0.997804,0.997804,0.997804,0.0,-
687,0.0005027652086475615,0.0,-24.9851,-24.9851,-24.9851,-24.9851,-24.9851,-24.9851,-24.9851,0.0,0.997879,0.997879,0.997879,0.997879,0.997879,0.997879,0.997879,0.0,-
501,0.0005027652086475615,0.0,-20.1188,-20.1188,-20.1188,-20.1188,-20.1188,-20.1188,-20.1188,0.0,0.975292,0.975292,0.975292,0.975292,0.975292,0.975292,0.975292,0.0,-
